Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
Bytedance,180000000000.0,2017-04-07,Artificial intelligence,Beijing,China,Asia,2012,8000000000.0,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,100000000000.0,2012-12-01,Other,Hawthorne,United States,North America,2002,7000000000.0,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,100000000000.0,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000.0,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,95000000000.0,2014-01-23,Fintech,San Francisco,United States,North America,2010,2000000000.0,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,46000000000.0,2011-12-12,Fintech,Stockholm,Sweden,Europe,2005,4000000000.0,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,40000000000.0,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,2012,57200000000.0,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,40000000000.0,2019-05-02,Fintech,London,United Kingdom,Europe,2012,2000000000.0,"Tiger Global Management, Insight Partners, DST Global"
Instacart,39000000000.0,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000.0,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,38000000000.0,2017-12-20,Consumer & retail,San Francisco,United States,North America,2015,14000000000.0,Tiger Global Management
Databricks,38000000000.0,2019-02-05,Data management & analytics,San Francisco,United States,North America,2013,3000000000.0,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,33000000000.0,2018-04-26,Fintech,London,United Kingdom,Europe,2015,2000000000.0,"index Ventures, DST Global, Ribbit Capital"
Epic Games,32000000000.0,2018-10-26,Other,Cary,United States,North America,1991,7000000000.0,"Tencent Holdings, KKR, Smash Ventures"
FTX,32000000000.0,2021-07-20,Fintech,,Bahamas,North America,2018,2000000000.0,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,27000000000.0,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000.0,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,25000000000.0,2019-03-05,Fintech,San Francisco,United States,North America,2013,2000000000.0,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,22000000000.0,2017-07-25,Edtech,Bengaluru,India,Asia,2008,4000000000.0,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,20000000000.0,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000.0,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,20000000000.0,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,91800000000.0,"GGV Capital, ZhenFund, Tencent"
Miro,18000000000.0,2022-01-05,Internet software & services,San Francisco,United States,North America,2011,47600000000.0,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,17000000000.0,2017-05-31,Edtech,Beijing,China,Asia,2012,4000000000.0,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,15000000000.0,2019-12-03,Fintech,London,United Kingdom,Europe,2016,77000000000.0,"Target Global, General Catalyst, Durable Capital Partners"
Discord,15000000000.0,2018-04-20,Internet software & services,San Francisco,United States,North America,2012,97900000000.0,"Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,15000000000.0,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,72100000000.0,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,15000000000.0,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000.0,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,14000000000.0,2021-02-17,Fintech,London,United Kingdom,Europe,2011,49000000000.0,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,13000000000.0,2018-12-11,Fintech,San Francisco,United States,North America,2012,73400000000.0,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,13000000000.0,2018-10-16,Health,Waltham,United States,North America,2017,2000000000.0,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,13000000000.0,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,2017,42700000000.0,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13000000000.0,2019-10-10,Internet software & services,San Francisco,United States,North America,2009,40000000000.0,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,12000000000.0,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,2016,4000000000.0,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,12000000000.0,2019-06-12,Other,Stockholm,Sweden,Europe,2016,4000000000.0,"Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,12000000000.0,2019-10-30,Artificial intelligence,San Francisco,United States,North America,2017,1000000000.0,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,12000000000.0,2018-11-15,Internet software & services,San Francisco,United States,North America,2013,1000000000.0,"Caffeinated Capital, CRV, Founder Collective"
Brex,12000000000.0,2018-10-05,Fintech,San Francisco,United States,North America,2017,1000000000.0,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,12000000000.0,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2000000000.0,"Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,12000000000.0,2018-08-06,Health,San Diego,United States,North America,2008,79900000000.0,"Vickers Venture Partners, IKEA GreenTech"
Bitmain,12000000000.0,2018-07-06,Hardware,Beijing,China,Asia,2015,76500000000.0,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,12000000000.0,2021-10-13,Internet software & services,Roseville,United States,North America,2003,80000000000.0,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,12000000000.0,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,5000000000.0,"KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,11000000000.0,2021-06-03,Auto & transportation,Shanghai,China,Asia,2013,37600000000.0,"LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,11000000000.0,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,2013,1000000000.0,"Didi Chuxing, Diamler, TMT Investments"
Swiggy,11000000000.0,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5000000000.0,"Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,11000000000.0,2021-05-08,Consumer & retail,Luohe,China,Asia,1999,55800000000.0,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,11000000000.0,2016-12-22,Hardware,London,United Kingdom,Europe,1998,5000000000.0,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,11000000000.0,2021-10-08,Fintech,San Francisco,United States,North America,2014,1000000000.0,"Activant Capital, Tribe Capital, General Atlantic"
Celonis,11000000000.0,2018-06-26,Data management & analytics,Munich,Germany,Europe,2011,1000000000.0,"Accel, 83North"
Zuoyebang,10000000000.0,2018-07-18,Edtech,Beijing,China,Asia,2014,3000000000.0,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,10000000000.0,2019-12-20,Fintech,San Francisco,United States,North America,2012,29400000000.0,"IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,10000000000.0,2018-09-25,Travel,Gurugram,India,Asia,2012,3000000000.0,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,10000000000.0,2018-06-05,Internet software & services,Boston,United States,North America,2001,57200000000.0,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,10000000000.0,2018-11-14,Internet software & services,Glendale,United States,North America,2012,1000000000.0,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,10000000000.0,2021-10-28,Fintech,San Francisco,United States,North America,2017,56400000000.0,"DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,10000000000.0,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4000000000.0,"Sequoia Capital China, GX Capital"
Digital Currency Group,10000000000.0,2021-11-01,Fintech,New York,United States,North America,2015,1000000000.0,"Ribbit Capital, capitalG, Softbank Group"
Figma,10000000000.0,2020-04-30,Internet software & services,San Francisco,United States,North America,2012,33300000000.0,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,10000000000.0,2015-12-18,Fintech,San Francisco,United States,North America,2011,69100000000.0,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,10000000000.0,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2000000000.0,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,10000000000.0,2020-04-01,Internet software & services,San Francisco,United States,North America,2016,34300000000.0,"Index Ventures, Draft Ventures, Felicis Ventures"
reddit,10000000000.0,2017-07-31,Internet software & services,San Francisco,United States,North America,2005,1000000000.0,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,10000000000.0,2018-10-03,Internet software & services,San Francisco,United States,North America,2011,49700000000.0,"DJF, Salesforce Ventures, Storm Ventures"
Thrasio,10000000000.0,2020-07-15,Other,Walpole,United States,North America,2018,2000000000.0,"Upper90, RiverPark Ventures, Advent International"
Dunamu,9000000000.0,2021-07-22,Fintech,Seoul,South Korea,Asia,2012,7100000000.0,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,9000000000.0,2019-06-10,Travel,Seoul,South Korea,Asia,2005,2000000000.0,"SBI Investment Korea, Partners Investment, GIC"
Pony.ai,9000000000.0,2018-07-11,Artificial intelligence,Fremont,United States,North America,2016,1000000000.0,"Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,9000000000.0,2019-02-11,Auto & transportation,Mountain View,United States,North America,2016,2000000000.0,"SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,9000000000.0,2020-01-21,Cybersecurity,Boston,United States,North America,2015,1000000000.0,"BOLDstart Ventures, Google Ventures, Accel"
Kavak,9000000000.0,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2000000000.0,"DST Global, SoftBank Group, Mountain Nazca"
N26,9000000000.0,2019-01-10,Fintech,Berlin,Germany,Europe,2013,2000000000.0,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,9000000000.0,2020-11-17,Internet software & services,Boston,United States,North America,2012,67900000000.0,"Summit Partners, Accel, Astral Capital"
Niantic,9000000000.0,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,2015,77000000000.0,"Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,9000000000.0,2015-03-31,Cybersecurity,Kirkland,United States,North America,2007,77500000000.0,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,8000000000.0,2019-04-09,Internet software & services,Mumbai,India,Asia,2007,2000000000.0,"Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,8000000000.0,2015-01-23,Hardware,Shenzhen,China,Asia,2006,10500000000.0,"Accel Partners, Sequoia Capital"
Netskope,8000000000.0,2018-11-13,Cybersecurity,Santa Clara,United States,North America,2012,1000000000.0,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,8000000000.0,2020-10-11,Fintech,Bengaluru,India,Asia,2013,74200000000.0,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,8000000000.0,2021-03-30,Fintech,Vancouver,Canada,North America,2018,60700000000.0,"Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,8000000000.0,2021-01-07,Cybersecurity,San Jose,United States,North America,2015,2000000000.0,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,8000000000.0,2020-10-06,Fintech,San Mateo,United States,North America,2010,54900000000.0,"01 Advisors, Zeev Ventures, Group 11"
Hopin,8000000000.0,2020-11-10,Internet software & services,London,United Kingdom,Europe,2019,1000000000.0,"Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,8000000000.0,2021-05-12,Health,Irving,United States,North America,1996,1000000000.0,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,8000000000.0,2021-03-29,Fintech,New York,United States,North America,2019,66000000000.0,"D1 Capital Partners, Stripe, Coatue Management"
Tempus,8000000000.0,2018-03-21,Health,Chicago,United States,North America,2015,82000000000.0,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,8000000000.0,2021-07-27,Fintech,New York,United States,North America,2018,1000000000.0,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,8000000000.0,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2000000000.0,"Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,7000000000.0,2020-07-01,Fintech,Mumbai,India,Asia,1998,29700000000.0,"TA Associates, SoftBank Group, GS Growth"
